         SolutionId            SourceId          Description
8022076041857990769 5179450973785220736 2MASSJ02572590-0831412
8022076041857990769 3686659636074742272 2MASSJ13194112-0043404
8022076041857990769 667219492942676352 SDSSJ075736.04+163323.2
8022076041857990769 765571667040137088 SDSSJ111344.75+411344.7
8022076041857990769 857874980997305344 SDSSJ111906.19+593457.5
8022076041857990769 1026626307641958528 2MASSJ09285059+5901208
8022076041857990769 1382467513506736512 2MASSJ16221288+4337175
8022076041857990769 706024217519938688 SDSSJ084151.00+291829.9
8022076041857990769 3687816807638766592 2MASSJ13113993+0025102
8022076041857990769 3097775879846734080 SDSSJ080950.30+071915.4
8022076041857990769 1038535702197133312 SDSSJ091757.36+593553.6
8022076041857990769 1052419957075566592 2MASSJ10353457+6347454
8022076041857990769 1054079395000068352 SDSSJ105535.02+620415.9
8022076041857990769 3697586239035432832 SDSSJ121021.78-012531.5
8022076041857990769 1541614979745275648 SDSSJ123315.77+452239.9
8022076041857990769 3878384609641442688 SDSSJ100413.73+093236.4
8022076041857990769 1153381478425561216 SDSSJ150141.67+013650.5
8022076041857990769 1586953861408772224 SDSSJ145356.57+462451.8
8022076041857990769 3950890147293647360 SDSSJ120545.03+185745.6
8022076041857990769 912627224086813440 SDSSJ085323.09+410303.3
8022076041857990769 924341047306276352 SDSSJ074558.30+430050.3
8022076041857990769 666806935564466944 2MASSJ07550860+1606363
8022076041857990769 3739494537044395136 SDSSJ132029.35+121009.6
8022076041857990769 683634037608678272 SDSSJ081047.67+270251.7
8022076041857990769 762738397374336128 SDSSJ105800.81+362412.1
8022076041857990769 683993814134610688 SDSSJ081546.06+273114.8
8022076041857990769 1050635140466521728 2MASSJ09492385+6013567
8022076041857990769 735863794865565056 SDSSJ103913.57+303410.1
8022076041857990769 688329398935486464 2MASSJ09032690+2505522
8022076041857990769 667433833285063040 SDSSJ075624.04+165900.9
8022076041857990769 586522692447792896 SDSSJ092919.14+080036.9
8022076041857990769 1534909161404610688 SDSSJ122430.90+413326.6
8022076041857990769 2609496819084296576 SDSSJ224345.53-082153.0
8022076041857990769 2507482893308161024 SDSSJ015644.75-002339.6
8022076041857990769 677216046504054784 SDSSJ080822.91+225842.8
8022076041857990769 3857920598009352320 SDSSJ104604.79+035607.9
8022076041857990769 860526285784874368 2MASSJ10560440+5851433
8022076041857990769 3601475281950651648 SDSSJ120321.84-025027.3
8022076041857990769 3851666850748974080 SDSSJ093809.24+053601.4
8022076041857990769 825011888407977856 2MASSJ09411928+4743341
8022076041857990769 696088442039689984 SDSSJ093059.71+280136.3
8022076041857990769 761057415893468544 2MASSJ11241186+3752181
8022076041857990769 2606835210670968448 SDSSJ225315.65-093111.3
8022076041857990769 3949520121446038528 SDSSJ123410.87+205556.9
8022076041857990769 825786661853254144 SDSSJ093204.25+484843.2
8022076041857990769 1201678488749957888 SDSSJ161150.41+193106.7
8022076041857990769 2500702273820043136 2MASSJ02190396-0038398
8022076041857990769 811650378294222464 SDSSJ092855.89+391303.3
8022076041857990769 857895291897915264 SDSSJ111935.69+595217.2
8022076041857990769 2428237688681591680 SDSSJ001654.98-093552.8
8022076041857990769 4463114784602593408 SDSSJ162056.15+123739.0
8022076041857990769 797903635383624960 SDSSJ094330.62+354631.1
8022076041857990769 3898724745826978176 SDSSJ120309.79+065308.3
8022076041857990769 3664350132830914944 SDSSJ135821.14+015512.5
8022076041857990769 1617455993293471744 SDSSJ144942.19+595523.3
8022076041857990769 617820428371151232 SDSSJ094129.63+144117.0
8022076041857990769 920159187974544256 SDSSJ074447.35+382812.3
8022076041857990769 3808305616842429056 SDSSJ105020.85+014452.3
8022076041857990769 1240695453427854848 SDSSJ142342.59+212639.3
8022076041857990769 3946238766431656832 SDSSJ122648.89+174401.3
8022076041857990769 656784577839318016 SDSSJ080509.10+170815.8
8022076041857990769 599068360638369152 SDSSJ082408.92+074244.2
8022076041857990769 775048117241960064 SDSSJ105239.69+372409.9
8022076041857990769 597586150246335360 2MASSJ08514254+0918521
8022076041857990769 603246092506776704 SDSSJ083641.47+130925.7
8022076041857990769 3197203135799861760 SDSSJ041125.24-054516.8
8022076041857990769 898784892383948032 2MASSJ07283603+3649494
8022076041857990769 664705803202901504 SDSSJ083751.42+205256.8
8022076041857990769 629685430145299968 SDSSJ095818.70+214753.0
8022076041857990769 5177229964591884288 2MASSJ02351742-0817519
8022076041857990769 657399140416537088 SDSSJ081511.55+183011.1
8022076041857990769 1013678871029082112 SDSSJ084336.44+464221.5
8022076041857990769 920231102906950656 SDSSJ074138.94+383512.6
8022076041857990769 1026452932696812800 2MASSJ09393198+5850267
8022076041857990769 1051720534537809024 SDSSJ101335.63+613624.8
8022076041857990769 3264289116212437120 SDSSJ032424.85-001542.9
8022076041857990769 1024554277978653952 2MASSJ09160067+5701136
8022076041857990769 764306472753981824 SDSSJ111616.46+385303.3
8022076041857990769 4437949476003885056 SDSSJ162031.81+055050.8
8022076041857990769 4011201315014451328 SDSSJ124330.72+295314.7
8022076041857990769 689059886974583168 SDSSJ084921.09+221337.5
8022076041857990769 1290470615401157632 SDSSJ151552.14+341137.1
8022076041857990769 4599406157174114944 SDSSJ171917.84+293530.2
